Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	parent	flybase	flybase_revhits	flybase_name	gbue11	gbue11_revhits	orthodb	orthodb_revhits	ontology_term	FlyBase	FlyBase_2	FlyBase_3	FlyBase_4	FlyBase_Annotation_IDs	FlyBase_Annotation_IDs_2	FlyBase_Annotation_IDs_3	FlyBase_Annotation_IDs_4	FlyMine	FlyMine_2	GB_protein	GB_protein_2	GB_protein_3	GB_protein_4	GB_protein_5	GB_protein_6	GI	REFSEQ	REFSEQ_2	REFSEQ_3	UniProt/Swiss-Prot	UniProt/Swiss-Prot_2	UniProt/TrEMBL	UniProt/TrEMBL_2	modMine	modMine_2
gbman.GBUE020375-PA.2	2979.80361380016	-4.24504300219865	0.959302518380585	-6.63789855000029	3.18186726728582e-11	4.28629339576072e-07	gbman.GBUE020375-PA.2.t1	gbman.GBUE020375-PA.2	NA	NA	NA	NA	NA	NA	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbman.GBUE006895-PA.1	9752.39420845384	-4.26810180645944	0.958265047333144	-6.60505911913166	3.97358740957489e-11	5.35281959943833e-07	gbman.GBUE006895-PA.1.t1	gbman.GBUE006895-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006895-PA	NA	56086_0_001aee	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbgene17373	989.15254750533	3.10021754687451	0.469340812200707	6.60410840933401	3.99916806729393e-11	5.38727930345166e-07	gbgene17373.t1	gbgene17373	FBgn0037395	gbgene1323.t1,gbgene17373.t1	CG10280-PB	GBUE010754-PA	NA	56086_0_002a01	NA	GO:0004222,GO:0006508,GO:0008270	FBpp0301222	NA	NA	NA	CG10280-PB	NA	NA	NA	NA	NA	AFH06261	NA	NA	NA	NA	NA	NA	NP_001246942	NA	NA	NA	NA	A0A0B4K600	NA	NA	NA
gbman.GBUE006899-PA.1	2678.77347393189	-4.30454068752812	0.957462022196021	-6.56106174926031	5.34259897697104e-11	7.19701508187769e-07	gbman.GBUE006899-PA.1.t1	gbman.GBUE006899-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006899-PA	NA	56086_0_001af2	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbman.GBUE006892-PA.1	2485.67398584306	-4.4328497949662	0.953777532754129	-6.56053640570101	5.36145627598396e-11	7.22241774937799e-07	gbman.GBUE006892-PA.1.t1	gbman.GBUE006892-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006892-PA	NA	56086_0_001aeb	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbgene12463	2793.49250334042	-3.95632603720941	0.603458695545571	-6.56017975212858	5.37429550790993e-11	7.23971347870547e-07	gbgene12463.t1	gbgene12463	FBgn0034580	NA	Cht8-PA	GBUE019583-PA	NA	286706_0_002d8b	NA	GO:0004568,GO:0005576,GO:0005975,GO:0006032,GO:0008061,GO:0018990	FBpp0071463	NA	NA	NA	CG9357-PA	NA	NA	NA	FBpp0071463	NA	AAF46663.2	AAF46663.1	AAF46663	NA	NA	NA	NA	NP_611542	NA	NA	NA	NA	Q9W2M7	NA	FBpp0071463	NA
gbman.GBUE000895-PA.1	40030.026183281	-4.27431450486649	0.957725434957412	-6.5281620825554	6.65816254009989e-11	8.96921075776856e-07	gbman.GBUE000895-PA.1.t1	gbman.GBUE000895-PA.1	NA	NA	NA	NA	NA	NA	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0076328	NA	NA	NA	CG7076-PA	NA	NA	NA	FBpp0076328	NA	AAF50442.1	AAF50442	NA	NA	NA	NA	NA	NP_648209	NA	NA	NA	NA	Q9VSH7	NA	FBpp0076328	NA
gbgene5757	4799.01248709472	-4.28645835765164	0.957377857353375	-6.46864939839538	9.8882723843677e-11	1.33204917289817e-06	gbgene5757.t1	gbgene5757	FBgn0032538	gbgene4712.t1,gbgene5757.t1,gbgene5758.t1,gbgene8521.t1,gbgene9359.t1,gbgene9512.t1,gbgene14565.t1	Vajk2-PA	GBUE020400-PA	gbgene5757.t1,gbgene5758.t1,gbgene5759.t1	56086_0_0023e2	gbgene5757.t1,gbgene5758.t1	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0080135	NA	NA	NA	CG16885-PA	NA	NA	NA	FBpp0080135	NA	AAF53358.2	AAF53358	NA	NA	NA	NA	NA	NP_609689	NA	NA	NA	NA	Q8SZM2	NA	FBpp0080135	NA
gbgene15147	1195.51695216803	-5.26183427099954	0.839836010293366	-6.45460263618975	1.08503221801012e-10	1.46164690088143e-06	gbgene15147.t1	gbgene15147	FBgn0050413	gbgene7227.t1,gbgene7228.t1,gbgene13673.t1,gbgene15147.t1	CG30413-PA	GBUE009673-PA	gbgene7227.t1,gbgene7228.t1,gbgene15147.t1	56086_0_0025c8	gbgene7227.t1,gbgene7228.t1,gbgene15147.t1	GO:0003674,GO:0005575,GO:0008150	FBpp0071949	NA	NA	NA	CG30413-PA	NA	NA	NA	FBpp0071949	NA	AAM68241.1	AAM68241	NA	NA	NA	NA	NA	NP_726308	NA	NA	NA	NA	Q8MLS3	NA	FBpp0071949	NA
gbgene1080	4547.86833304646	3.4371208602085	0.533060549930294	6.44917889461783	1.12457756558402e-10	1.51491843859823e-06	gbgene1080.t1	gbgene1080	FBgn0037664	NA	CG8420-PA	GBUE013572-PA	NA	56086_0_003503	NA	GO:0003674,GO:0005615,GO:0032504	FBpp0081453	NA	NA	NA	CG8420-PA	NA	NA	NA	FBpp0081453	NA	AAF54343.1	AAF54343	NA	NA	NA	NA	NA	NP_649869	NA	NA	NA	NA	Q9VHH1	NA	FBpp0081453	NA
gbgene17286	9275.31856846214	-4.39332799347953	0.953702403462171	-6.41092539148743	1.44638971890492e-10	1.94843159033682e-06	gbgene17286.t1	gbgene17286	FBgn0038819	gbgene11480.t1,gbgene11481.t1,gbgene11482.t1,gbgene11488.t1,gbgene17286.t1	Cpr92F-PA	GBUE007499-PA	NA	56086_0_001d4a	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0083327	NA	NA	NA	CG5494-PA	NA	NA	NA	FBpp0083327	NA	AAF55794.1	AAF55794	NA	NA	NA	NA	NA	NP_650905	NA	NA	NA	NA	Q9VDJ8	NA	FBpp0083327	NA
gbgene7683	11488.3370675861	-4.76133321159605	0.939178913030499	-6.40053290457308	1.54835576743409e-10	2.08579005431046e-06	gbgene7683.t1	gbgene7683	NA	NA	NA	GBUE008383-PA	NA	56086_0_0020be	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE000894-PA.1	2748.88230572073	-3.92607566892564	0.966466714042808	-6.39465494711833	1.60910305113679e-10	2.16762272018637e-06	gbman.GBUE000894-PA.1.t1	gbman.GBUE000894-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE000894-PA	NA	56086_0_00037d	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbman.GBUE000897-PA.1	27775.380159884	-4.27002989412539	0.95724259911882	-6.3754142201513	1.82469097873909e-10	2.45804121745942e-06	gbman.GBUE000897-PA.1.t1	gbman.GBUE000897-PA.1	FBgn0036879	gbgene9375.t1,gbgene9377.t1,gbgene9378.t1,gbgene9379.t1,gbgene9380.t1,gbgene9381.t1,gbgene9384.t1	Cpr76Bb-PA	GBUE000897-PA	NA	56086_0_000380	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074702	NA	NA	NA	CG9290-PA	NA	NA	NA	FBpp0074702	NA	AAF49152.1	AAF49152	NA	NA	NA	NA	NA	NP_649121	NA	NA	NA	NA	Q9VW03	NA	FBpp0074702	NA
gbgene16793	1293.86179812797	-5.26952112670586	0.881763526228677	-6.35747019671417	2.05103448429058e-10	2.76294855378784e-06	gbgene16793.t1	gbgene16793	NA	NA	NA	GBUE009348-PA	gbgene16792.t1,gbgene16793.t1	56086_0_002483	gbgene16792.t1,gbgene16793.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15534	2424.30991301506	-3.79891116022893	0.969078434262208	-6.31486702848771	2.70393866158575e-10	3.64247577102217e-06	gbgene15534.t1	gbgene15534	NA	NA	NA	GBUE017982-PA	NA	56086_0_00463d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene17833	39735.1194667335	-4.27474437044745	0.956794319395897	-6.31315320435658	2.73406589919116e-10	3.68306017280041e-06	gbgene17833.t1	gbgene17833	NA	NA	NA	GBUE013422-PA	gbgene17833.t1,gbgene17834.t1	56086_0_00346d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene13284	119970.082299682	-4.29733084365025	0.95603299717129	-6.30486981194911	2.88436239807022e-10	3.88552458644039e-06	gbgene13284.t1	gbgene13284	FBgn0050101	gbgene170.t1,gbgene2296.t1,gbgene5070.t1,gbgene5074.t1,gbgene5076.t1,gbgene5077.t1,gbgene5754.t1,gbgene9508.t1,gbgene9509.t1,gbgene9510.t1,gbgene9513.t1,gbgene13284.t1,gbgene14564.t1	Vajk4-PA	GBUE010600-PA	NA	56086_0_002967	NA	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0086118	NA	NA	NA	CG30101-PA	NA	NA	NA	FBpp0086118	NA	AAF57876.1	AAF57876	NA	NA	NA	NA	NA	NP_611205	NA	NA	NA	NA	Q7K0W4	NA	FBpp0086118	NA
gbgene8288	3176.27781485978	2.84552222344891	0.451864029425239	6.29733664010119	3.0280320155573e-10	4.07906192815724e-06	gbgene8288.t1	gbgene8288	FBgn0263109	NA	CG43366-PB	GBUE008161-PA	NA	56086_0_001fe0	NA	GO:0004867,GO:0005615,GO:0008150	FBpp0298308	FBpp0085385	NA	NA	CG43366-PB	CG14470-PA	NA	NA	NA	NA	AAF57301	NA	NA	NA	NA	NA	NA	NP_610188	NA	NA	NA	NA	A1Z6I3	NA	NA	NA
gbgene5761	4995.97697678317	-3.98113668241046	0.964822502297469	-6.28699609511942	3.23667514565554e-10	4.36012508871258e-06	gbgene5761.t1	gbgene5761	FBgn0039027	gbgene5759.t1,gbgene5761.t1,gbgene8218.t1,gbgene8220.t1,gbgene14523.t1	CG7031-PC	GBUE012390-PA	NA	56086_0_003062	NA	NA	FBpp0311449	NA	NA	NA	CG7031-PC	NA	NA	NA	NA	NA	AHN57474	NA	NA	NA	NA	NA	NA	NP_001287475	NA	NA	NA	NA	A0A0B4LHI0	NA	NA	NA
gbgene7681	13333.616318159	-3.20785352694519	0.97763137275811	-6.2281013282058	4.72121695902694e-10	6.35995136550519e-06	gbgene7681.t1	gbgene7681	NA	NA	NA	GBUE008384-PA	NA	56086_0_0020bf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbman.GBUE011199-PA.1	98611.5639476322	-4.94841669584155	0.922095029272339	-6.22345996341677	4.86308957780922e-10	6.5510679702668e-06	gbman.GBUE011199-PA.1.t1	gbman.GBUE011199-PA.1	FBgn0035511	gbgene2941.t1,gbgene5865.t1,gbgene11965.t1	Cpr64Ab-PA	GBUE011199-PA	gbgene2941.t1,gbgene18912.t1	56086_0_002d21	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0081193	FBpp0073109	NA	NA	CG15007-PA	CG1331-PA	NA	NA	FBpp0081193	FBpp0073109	AAF54095.1	AAF54095	AAF47862.1	AAF47862	NA	NA	NA	NP_649678	NP_647873	NA	NA	NA	Q9VZG1	O97063	FBpp0081193	FBpp0073109
gbgene19283	4223.63553597455	3.74813948092909	0.605852133725138	6.19101948498889	5.97763185681199e-10	8.05246787431143e-06	gbgene19283.t1	gbgene19283	NA	NA	NA	GBUE015683-PA	NA	56086_0_003d42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene15749	29425.6553951391	-4.70686522026587	0.937722921443334	-6.16658928968304	6.97786857249376e-10	9.39988675400635e-06	gbgene15749.t1	gbgene15749	FBgn0030539	gbgene15679.t1,gbgene15749.t1	CG1368-PA	GBUE016994-PA	NA	56086_0_004261	NA	GO:0003713,GO:0045944,GO:0090575	FBpp0073708	NA	NA	NA	CG1368-PA	NA	NA	NA	FBpp0073708	NA	AAF48343.1	AAF48343	NA	NA	NA	NA	NA	NP_572939	NA	NA	NA	NA	Q9VY62	NA	FBpp0073708	NA
gbgene1837	31529.6346671785	-4.83477596858942	0.796111262312115	-6.16650028089573	6.98179567592882e-10	9.40517695504372e-06	gbgene1837.t1	gbgene1837	NA	NA	NA	NA	NA	143948_0_0000b3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7689	1180.38404318744	4.47764971550109	0.729898827016271	6.16105531061208	7.22617441107328e-10	9.73437954915682e-06	gbgene7689.t1	gbgene7689	NA	NA	NA	NA	NA	56086_0_0020b8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene14858	18718.1803280725	-4.29230493339923	0.955270570582987	-6.14269211501299	8.11344548091703e-10	1.09296224073433e-05	gbgene14858.t1	gbgene14858	FBgn0037428	NA	Osi18-PA	GBUE016603-PA	NA	56086_0_0040da	NA	GO:0003674,GO:0005887,GO:0008150	FBpp0078260	NA	NA	NA	CG1169-PA	NA	NA	NA	FBpp0078260	NA	AAF51889.2	AAF51889	NA	NA	NA	NA	NA	NP_649639	NA	NA	NA	NA	Q9VNP0	NA	FBpp0078260	NA
gbgene7125	185701.321360334	-4.09593249402725	0.961217303525853	-6.13746021499301	8.38512096577911e-10	1.1295596453001e-05	gbgene7125.t2	gbgene7125	FBgn0029807	gbgene1454.t1,gbgene5116.t1,gbgene7125.t1,gbgene7125.t2	CG3108-PA	GBUE008947-PA	gbgene7125.t1,gbgene7125.t2	56086_0_0022f2	gbgene7125.t1,gbgene7125.t2	GO:0004181,GO:0005615,GO:0006508,GO:0008270	FBpp0070798	NA	NA	NA	CG3108-PA	NA	NA	NA	FBpp0070798	NA	AAF46083.2	AAF46083	NA	NA	NA	NA	NA	NP_572262	NA	NA	NA	NA	Q9W475	NA	FBpp0070798	NA
