Genes	GO.ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank in classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene19436	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene2018	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene2020	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene312	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene5205	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene5207	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene5714	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene5717	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene6744	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene8215	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene8792	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene9399	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene9622	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene10503	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene10927	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene11613	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene1166	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene11932	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene11933	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene12560	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene14219	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene14406	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene15475	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene17093	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene20250	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene2538	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene2752	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene2753	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene3822	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene3829	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene4174	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene5127	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene8737	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene8738	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene8766	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene9838	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE000664-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE002178-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE002278-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE002871-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE004632-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE005938-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE006090-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE006094-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE006095-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE006177-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE007380-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE008784-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE009444-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE009680-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE009681-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE017744-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE017902-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE020991-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE021105-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbman.GBUE021156-PA.1	GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241
gbgene13585	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene1586	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene1587	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene1588	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene1589	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene844	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene882	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene883	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene884	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene886	GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062
gbgene10248	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene115	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene11771	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene11772	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene1210	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene12247	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene13541	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene14919	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene15384	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene15584	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene17797	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene17799	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene19560	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene19777	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene20306	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene2440	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene2442	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene4927	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene5022	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene5138	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene5459	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene7337	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene7444	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene7536	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene8288	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene9212	GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154
gbgene10268	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene10294	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene1107	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene11081	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12046	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12205	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12234	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12259	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12351	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene12786	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene13193	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene132	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene13522	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene13525	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene13541	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene14479	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene14566	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene1457	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene14591	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene14658	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene14932	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene15409	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene16391	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene16748	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene16861	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene16912	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene17797	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene17994	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene18503	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene18516	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene18635	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene19375	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene19663	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene2828	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene3467	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene4310	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene4620	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene4739	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene4927	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene5138	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene5210	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene5644	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene5995	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene6698	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene7073	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene7473	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene7474	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene814	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene8930	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9014	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9314	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9319	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9320	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9322	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9324	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene9859	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbman.GBUE017915-PA.1	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbman.GBUE017916-PA.1	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbman.GBUE017917-PA.1	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbman.GBUE017918-PA.1	GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056
gbgene10227	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene11480	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene11481	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene11482	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene12423	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene13284	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene14564	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene14565	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene16565	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene16626	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene170	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene17253	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene17286	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene2296	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene2297	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene2740	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene4555	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene4712	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5070	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5074	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5076	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5077	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5754	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5757	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene5758	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene7111	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene8172	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene8521	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene9359	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene9508	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
gbgene9509	GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30
