Genes	GO.ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank in classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP
gbgene1589	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene16505	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene18473	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene18476	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene5353	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene8565	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene883	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene9403	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbman.GBUE016248-PA.1	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene10073	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene10122	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene10531	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene11695	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene12088	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene12104	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene12105	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene12107	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene12523	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1256	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene13006	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene13228	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1328	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1329	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1330	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1363	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene14375	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene14425	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1465	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1621	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene16486	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene16644	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene1721	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene17575	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene17611	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene17946	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene18399	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene18905	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene19110	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene19187	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene20197	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene264	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene29	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene3074	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene3440	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene3961	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene4355	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene4628	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene4633	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene5009	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene5776	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene5796	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene593	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene6261	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene6267	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene6482	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene6561	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene7104	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene7106	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene7864	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene849	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene8559	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene8634	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene9345	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene9821	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene9996	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene9998	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene9999	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE004880-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE004915-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE006282-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE006773-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE021109-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbman.GBUE021385-PA.1	GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060
gbgene10705	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene5036	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene524	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene5917	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene6261	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene9996	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene9998	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene9999	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbman.GBUE001901-PA.1	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbman.GBUE006285-PA.1	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbman.GBUE006286-PA.1	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbman.GBUE021006-PA.1	GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072
gbgene11537	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene15469	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene16142	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene16143	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene2335	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene2597	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene5691	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbman.GBUE009014-PA.1	GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049
gbgene10129	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene10175	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene10496	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene11985	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene12071	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene12085	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1255	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene12594	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene12800	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1304	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13577	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13610	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13704	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13852	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13853	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13854	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene13980	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene14071	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene14283	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene14450	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene14474	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene14761	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1507	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15184	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1534	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15368	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1566	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15697	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15698	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15699	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15700	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15701	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15702	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15709	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene15711	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16060	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16352	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16529	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16530	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1662	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16676	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene1672	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16872	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene16996	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17089	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17118	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17119	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17120	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17221	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17288	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17581	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene17844	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene18002	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene18289	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene18597	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene18694	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene18695	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene19307	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene19619	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene19620	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene2393	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene2508	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene2610	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene2642	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene2874	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3142	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3143	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3266	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3346	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3348	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3349	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3534	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3653	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene3662	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene379	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene386	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene392	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene4283	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene4886	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5052	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5156	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene517	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5410	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5591	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5748	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene5862	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene6041	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene6043	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene6044	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
gbgene6076	GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040
