Genes	GO.ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank in classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC
gbgene11898	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1194	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11996	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12070	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1210	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1211	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12139	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12181	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12182	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12247	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12287	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12308	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12342	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12343	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12380	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12383	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12397	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12399	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12400	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12409	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12426	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12454	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12463	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12467	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12506	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12667	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12764	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12772	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12778	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12814	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12817	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12821	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12830	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12842	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12856	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12857	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12858	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12908	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12909	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12910	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12911	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12912	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12913	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12914	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene12935	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1294	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13015	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13095	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13113	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13140	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13170	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13171	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13186	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13193	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13205	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13230	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13303	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1334	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene134	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13424	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13456	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13466	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene135	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13507	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13522	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13525	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13534	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13535	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13541	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13566	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13593	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13630	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13632	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13645	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13650	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13651	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13652	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13656	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13704	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13745	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13757	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13758	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13793	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13823	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13852	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13853	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13854	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13855	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene13971	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14033	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14063	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14079	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14084	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14085	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14086	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14087	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14119	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14133	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1414	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14142	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14144	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14145	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14146	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14147	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14148	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14150	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14255	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14256	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14257	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14264	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1431	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14310	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14445	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14450	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14457	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14523	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1454	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1457	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14573	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14607	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14608	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14609	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14726	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14730	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14822	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14919	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene14930	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15008	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15011	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15088	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15168	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15207	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1521	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15227	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15232	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1534	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15376	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15377	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15379	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15381	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15382	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15384	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15493	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15496	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1551	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1552	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15584	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15697	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15698	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15699	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15700	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15701	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15702	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15724	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15803	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene15993	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16009	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16034	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16035	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16036	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16058	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16059	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16060	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16083	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16090	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16091	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16169	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16170	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16210	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16213	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16281	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16352	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16359	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16391	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16396	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1641	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16448	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16463	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16473	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16477	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16488	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16522	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16600	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1662	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16629	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1673	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1675	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1676	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16866	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene16900	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
