Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GO_ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank_in_classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP	GO_ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank_in_classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC	GO_ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank_in_classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0014012	peripheral nervous system axon regeneration	9	1	0.03	130	0.03007	0.03007	0.03007	0.2812	0.03007	0.03007	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0014012	peripheral nervous system axon regeneration	9	1	0.03	130	0.03007	0.03007	0.03007	0.2812	0.03007	0.03007	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0042308	negative regulation of protein import into nucleus	12	1	0.04	155	0.0399	0.0399	0.0399	0.1395	0.0399	0.0399	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0042308	negative regulation of protein import into nucleus	12	1	0.04	155	0.0399	0.0399	0.0399	0.1395	0.0399	0.0399	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0042308	negative regulation of protein import into nucleus	12	1	0.04	155	0.0399	0.0399	0.0399	0.1395	0.0399	0.0399	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0042308	negative regulation of protein import into nucleus	12	1	0.04	155	0.0399	0.0399	0.0399	0.1395	0.0399	0.0399	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0048662	negative regulation of smooth muscle cell proliferation	9	1	0.03	131	0.03007	0.03007	0.03007	0.0441	0.03007	0.03007	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0048662	negative regulation of smooth muscle cell proliferation	9	1	0.03	131	0.03007	0.03007	0.03007	0.0441	0.03007	0.03007	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0048662	negative regulation of smooth muscle cell proliferation	9	1	0.03	131	0.03007	0.03007	0.03007	0.0441	0.03007	0.03007	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0048662	negative regulation of smooth muscle cell proliferation	9	1	0.03	131	0.03007	0.03007	0.03007	0.0441	0.03007	0.03007	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0051895	negative regulation of focal adhesion assembly	12	1	0.04	156	0.0399	0.0399	0.0399	0.2143	0.0399	0.0399	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0051895	negative regulation of focal adhesion assembly	12	1	0.04	156	0.0399	0.0399	0.0399	0.2143	0.0399	0.0399	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0051895	negative regulation of focal adhesion assembly	12	1	0.04	156	0.0399	0.0399	0.0399	0.2143	0.0399	0.0399	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0051895	negative regulation of focal adhesion assembly	12	1	0.04	156	0.0399	0.0399	0.0399	0.2143	0.0399	0.0399	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0060588	negative regulation of lipoprotein lipid oxidation	5	1	0.02	90	0.01682	0.01682	0.01682	0.1136	0.01682	0.01682	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0060588	negative regulation of lipoprotein lipid oxidation	5	1	0.02	90	0.01682	0.01682	0.01682	0.1136	0.01682	0.01682	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0060588	negative regulation of lipoprotein lipid oxidation	5	1	0.02	90	0.01682	0.01682	0.01682	0.1136	0.01682	0.01682	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0060588	negative regulation of lipoprotein lipid oxidation	5	1	0.02	90	0.01682	0.01682	0.01682	0.1136	0.01682	0.01682	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0071638	negative regulation of monocyte chemotactic protein-1 production	6	1	0.02	103	0.02015	0.02015	0.02015	0.8571	0.02015	0.02015	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0071638	negative regulation of monocyte chemotactic protein-1 production	6	1	0.02	103	0.02015	0.02015	0.02015	0.8571	0.02015	0.02015	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0071638	negative regulation of monocyte chemotactic protein-1 production	6	1	0.02	103	0.02015	0.02015	0.02015	0.8571	0.02015	0.02015	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0071638	negative regulation of monocyte chemotactic protein-1 production	6	1	0.02	103	0.02015	0.02015	0.02015	0.8571	0.02015	0.02015	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:1900016	negative regulation of cytokine production involved in inflammatory response	5	1	0.02	91	0.01682	0.01682	0.01682	0.0962	0.01682	0.01682	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:1900016	negative regulation of cytokine production involved in inflammatory response	5	1	0.02	91	0.01682	0.01682	0.01682	0.0962	0.01682	0.01682	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:1900016	negative regulation of cytokine production involved in inflammatory response	5	1	0.02	91	0.01682	0.01682	0.01682	0.0962	0.01682	0.01682	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:1900016	negative regulation of cytokine production involved in inflammatory response	5	1	0.02	91	0.01682	0.01682	0.01682	0.0962	0.01682	0.01682	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000098	negative regulation of smooth muscle cell-matrix adhesion	5	1	0.02	92	0.01682	0.01682	0.01682	0.2632	0.01682	0.01682	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000098	negative regulation of smooth muscle cell-matrix adhesion	5	1	0.02	92	0.01682	0.01682	0.01682	0.2632	0.01682	0.01682	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000098	negative regulation of smooth muscle cell-matrix adhesion	5	1	0.02	92	0.01682	0.01682	0.01682	0.2632	0.01682	0.01682	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000098	negative regulation of smooth muscle cell-matrix adhesion	5	1	0.02	92	0.01682	0.01682	0.01682	0.2632	0.01682	0.01682	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000405	negative regulation of T cell migration	5	1	0.02	93	0.01682	0.01682	0.01682	0.5556	0.01682	0.01682	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000405	negative regulation of T cell migration	5	1	0.02	93	0.01682	0.01682	0.01682	0.5556	0.01682	0.01682	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000405	negative regulation of T cell migration	5	1	0.02	93	0.01682	0.01682	0.01682	0.5556	0.01682	0.01682	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:2000405	negative regulation of T cell migration	5	1	0.02	93	0.01682	0.01682	0.01682	0.5556	0.01682	0.01682	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene18399	4715.59697275168	5.45485254342086	0.658315049311855	8.31135341690839	9.46166725609318e-17	1.23834301047748e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0010224	response to UV-B	23	7	0.08	6	6.2e-13	6.2e-13	6.2e-13	1e-04	6.2e-13	6.2e-13	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0005813	centrosome	235	6	1.06	12	0.00061	0.00061	0.00061	0.07566	0.00061	0.00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0016604	nuclear body	369	8	1.66	8	0.00021	0.00021	1.6e-05	0.00022	0.00021	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	9	6	0.03	1	7.9e-14	7.9e-14	7.9e-14	4e-10	7.9e-14	7.9e-14	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0001533	cornified envelope	20	7	0.09	1	1.7e-12	1.7e-12	1.7e-12	8.1e-14	1.7e-12	1.7e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09	GO:0031424	keratinization	21	7	0.07	5	3e-13	0.03029	0.03029	5.9e-13	0.03029	0.03029	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
